   Wlgth  Nor_Ext_Co  Nor_Sca_Co  Sg_Sca_Alb  Asymm_Para  Extinct_Co  Scatter_Co
    0.3500     1.4977        1.3489        0.9007        0.6727     0.9666E-02  0.8706E-02
    0.4000     1.3479        1.2143        0.9009        0.6688     0.8700E-02  0.7838E-02
    0.4120     1.3149        1.1844        0.9007        0.6674     0.8487E-02  0.7644E-02
    0.4430     1.2334        1.1106        0.9004        0.6649     0.7961E-02  0.7168E-02
    0.4700     1.1681        1.0510        0.8997        0.6631     0.7540E-02  0.6784E-02
    0.4880     1.1266        1.0134        0.8995        0.6613     0.7272E-02  0.6541E-02
    0.5150     1.0687        0.9591        0.8974        0.6597     0.6898E-02  0.6190E-02
    0.5500     1.0000        0.8932        0.8932        0.6577     0.6454E-02  0.5765E-02
    0.5900     0.9291        0.8286        0.8918        0.6552     0.5997E-02  0.5348E-02
    0.6330     0.8615        0.7642        0.8871        0.6530     0.5560E-02  0.4933E-02
    0.6700     0.8094        0.7156        0.8842        0.6505     0.5224E-02  0.4619E-02
    0.6940     0.7777        0.6871        0.8835        0.6492     0.5019E-02  0.4435E-02
    0.7600     0.7007        0.6112        0.8723        0.6471     0.4522E-02  0.3945E-02
    0.8600     0.6012        0.5156        0.8576        0.6478     0.3881E-02  0.3328E-02
    1.2400     0.4008        0.3271        0.8160        0.6548     0.2587E-02  0.2111E-02
    1.5360     0.2934        0.2312        0.7880        0.7049     0.1894E-02  0.1492E-02
    1.6500     0.2751        0.2197        0.7986        0.7183     0.1776E-02  0.1418E-02
    1.9500     0.2710        0.1849        0.6822        0.7731     0.1749E-02  0.1193E-02
    2.2500     0.2172        0.1582        0.7284        0.8075     0.1402E-02  0.1021E-02
    3.7500     0.1441        0.1228        0.8518        0.8156     0.9304E-03  0.7925E-03
