   Wlgth  Nor_Ext_Co  Nor_Sca_Co  Sg_Sca_Alb  Asymm_Para  Extinct_Co  Scatter_Co
    0.3500     1.1386        1.1229        0.9862        0.7393     0.4066E-01  0.4010E-01
    0.4000     1.1001        1.0866        0.9877        0.7392     0.3928E-01  0.3880E-01
    0.4120     1.0930        1.0799        0.9881        0.7382     0.3903E-01  0.3856E-01
    0.4430     1.0698        1.0578        0.9888        0.7385     0.3820E-01  0.3777E-01
    0.4700     1.0518        1.0407        0.9894        0.7382     0.3756E-01  0.3716E-01
    0.4880     1.0380        1.0273        0.9897        0.7398     0.3706E-01  0.3668E-01
    0.5150     1.0238        1.0132        0.9897        0.7390     0.3656E-01  0.3618E-01
    0.5500     1.0000        0.9890        0.9890        0.7423     0.3571E-01  0.3532E-01
    0.5900     0.9825        0.9724        0.9898        0.7417     0.3508E-01  0.3472E-01
    0.6330     0.9653        0.9551        0.9894        0.7427     0.3447E-01  0.3410E-01
    0.6700     0.9480        0.9381        0.9895        0.7438     0.3385E-01  0.3350E-01
    0.6940     0.9421        0.9326        0.9899        0.7440     0.3364E-01  0.3330E-01
    0.7600     0.9171        0.9063        0.9882        0.7466     0.3275E-01  0.3236E-01
    0.8600     0.8884        0.8768        0.9869        0.7502     0.3172E-01  0.3131E-01
    1.2400     0.8190        0.8029        0.9803        0.7608     0.2925E-01  0.2867E-01
    1.5360     0.7607        0.7382        0.9704        0.7752     0.2716E-01  0.2636E-01
    1.6500     0.7441        0.7253        0.9748        0.7779     0.2657E-01  0.2590E-01
    1.9500     0.7161        0.6753        0.9430        0.7850     0.2557E-01  0.2411E-01
    2.2500     0.6532        0.5786        0.8859        0.8091     0.2332E-01  0.2066E-01
    3.7500     0.5504        0.5348        0.9716        0.7465     0.1965E-01  0.1910E-01
