   Wlgth  Nor_Ext_Co  Nor_Sca_Co  Sg_Sca_Alb  Asymm_Para  Extinct_Co  Scatter_Co
    0.3500     1.6651        1.1596        0.6964        0.6248     0.2355E-02  0.1640E-02
    0.4000     1.4553        1.0135        0.6964        0.6205     0.2059E-02  0.1434E-02
    0.4120     1.4102        0.9818        0.6962        0.6190     0.1995E-02  0.1389E-02
    0.4430     1.3015        0.9052        0.6955        0.6163     0.1841E-02  0.1280E-02
    0.4700     1.2159        0.8445        0.6945        0.6143     0.1720E-02  0.1195E-02
    0.4880     1.1627        0.8067        0.6938        0.6122     0.1645E-02  0.1141E-02
    0.5150     1.0881        0.7530        0.6920        0.6103     0.1539E-02  0.1065E-02
    0.5500     1.0000        0.6888        0.6888        0.6080     0.1414E-02  0.9743E-03
    0.5900     0.9124        0.6262        0.6863        0.6048     0.1291E-02  0.8858E-03
    0.6330     0.8315        0.5651        0.6797        0.6014     0.1176E-02  0.7994E-03
    0.6700     0.7693        0.5193        0.6751        0.5980     0.1088E-02  0.7346E-03
    0.6940     0.7317        0.4926        0.6732        0.5961     0.1035E-02  0.6967E-03
    0.7600     0.6427        0.4228        0.6578        0.5915     0.9092E-03  0.5981E-03
    0.8600     0.5326        0.3364        0.6316        0.5867     0.7534E-03  0.4758E-03
    1.2400     0.3072        0.1656        0.5392        0.5613     0.4345E-03  0.2343E-03
    1.5360     0.1972        0.0829        0.4202        0.5687     0.2789E-03  0.1172E-03
    1.6500     0.1774        0.0725        0.4089        0.5675     0.2509E-03  0.1026E-03
    1.9500     0.1685        0.0484        0.2871        0.5753     0.2383E-03  0.6844E-04
    2.2500     0.1291        0.0372        0.2880        0.5880     0.1826E-03  0.5260E-04
    3.7500     0.0599        0.0179        0.2980        0.6434     0.8477E-04  0.2526E-04
